0	500
500	1000
1000	1500
1500	2000
1	501
501	1001
1001	1501
1501	2001
2	502
502	1002
1002	1502
1502	2002
3	503
503	1003
1003	1503
1503	2003
4	504
504	1004
1004	1504
1504	2004
5	505
505	1005
1005	1505
1505	2005
6	506
506	1006
1006	1506
1506	2006
7	507
507	1007
1007	1507
1507	2007
8	508
508	1008
1008	1508
1508	2008
9	509
509	1009
1009	1509
1509	2009
10	510
510	1010
1010	1510
1510	2010
11	511
511	1011
1011	1511
1511	2011
12	512
512	1012
1012	1512
1512	2012
13	513
513	1013
1013	1513
1513	2013
14	514
514	1014
1014	1514
1514	2014
15	515
515	1015
1015	1515
1515	2015
16	516
516	1016
1016	1516
1516	2016
17	517
517	1017
1017	1517
1517	2017
18	518
518	1018
1018	1518
1518	2018
19	519
519	1019
1019	1519
1519	2019
20	520
520	1020
1020	1520
1520	2020
21	521
521	1021
1021	1521
1521	2021
22	522
522	1022
1022	1522
1522	2022
23	523
523	1023
1023	1523
1523	2023
24	524
524	1024
1024	1524
1524	2024
25	525
525	1025
1025	1525
1525	2025
26	526
526	1026
1026	1526
1526	2026
27	527
527	1027
1027	1527
1527	2027
28	528
528	1028
1028	1528
1528	2028
29	529
529	1029
1029	1529
1529	2029
30	530
530	1030
1030	1530
1530	2030
31	531
531	1031
1031	1531
1531	2031
32	532
532	1032
1032	1532
1532	2032
33	533
533	1033
1033	1533
1533	2033
34	534
534	1034
1034	1534
1534	2034
35	535
535	1035
1035	1535
1535	2035
36	536
536	1036
1036	1536
1536	2036
37	537
537	1037
1037	1537
1537	2037
38	538
538	1038
1038	1538
1538	2038
39	539
539	1039
1039	1539
1539	2039
40	540
540	1040
1040	1540
1540	2040
41	541
541	1041
1041	1541
1541	2041
42	542
542	1042
1042	1542
1542	2042
43	543
543	1043
1043	1543
1543	2043
44	544
544	1044
1044	1544
1544	2044
45	545
545	1045
1045	1545
1545	2045
46	546
546	1046
1046	1546
1546	2046
47	547
547	1047
1047	1547
1547	2047
48	548
548	1048
1048	1548
1548	2048
49	549
549	1049
1049	1549
1549	2049
50	550
550	1050
1050	1550
1550	2050
51	551
551	1051
1051	1551
1551	2051
52	552
552	1052
1052	1552
1552	2052
53	553
553	1053
1053	1553
1553	2053
54	554
554	1054
1054	1554
1554	2054
55	555
555	1055
1055	1555
1555	2055
56	556
556	1056
1056	1556
1556	2056
57	557
557	1057
1057	1557
1557	2057
58	558
558	1058
1058	1558
1558	2058
59	559
559	1059
1059	1559
1559	2059
60	560
560	1060
1060	1560
1560	2060
61	561
561	1061
1061	1561
1561	2061
62	562
562	1062
1062	1562
1562	2062
63	563
563	1063
1063	1563
1563	2063
64	564
564	1064
1064	1564
1564	2064
65	565
565	1065
1065	1565
1565	2065
66	566
566	1066
1066	1566
1566	2066
67	567
567	1067
1067	1567
1567	2067
68	568
568	1068
1068	1568
1568	2068
69	569
569	1069
1069	1569
1569	2069
70	570
570	1070
1070	1570
1570	2070
71	571
571	1071
1071	1571
1571	2071
72	572
572	1072
1072	1572
1572	2072
73	573
573	1073
1073	1573
1573	2073
74	574
574	1074
1074	1574
1574	2074
75	575
575	1075
1075	1575
1575	2075
76	576
576	1076
1076	1576
1576	2076
77	577
577	1077
1077	1577
1577	2077
78	578
578	1078
1078	1578
1578	2078
79	579
579	1079
1079	1579
1579	2079
80	580
580	1080
1080	1580
1580	2080
81	581
581	1081
1081	1581
1581	2081
82	582
582	1082
1082	1582
1582	2082
83	583
583	1083
1083	1583
1583	2083
84	584
584	1084
1084	1584
1584	2084
85	585
585	1085
1085	1585
1585	2085
86	586
586	1086
1086	1586
1586	2086
87	587
587	1087
1087	1587
1587	2087
88	588
588	1088
1088	1588
1588	2088
89	589
589	1089
1089	1589
1589	2089
90	590
590	1090
1090	1590
1590	2090
91	591
591	1091
1091	1591
1591	2091
92	592
592	1092
1092	1592
1592	2092
93	593
593	1093
1093	1593
1593	2093
94	594
594	1094
1094	1594
1594	2094
95	595
595	1095
1095	1595
1595	2095
96	596
596	1096
1096	1596
1596	2096
97	597
597	1097
1097	1597
1597	2097
98	598
598	1098
1098	1598
1598	2098
99	599
599	1099
1099	1599
1599	2099
0	500
531	1017
1062	1534
1593	2051
124	568
655	1085
1186	1602
1717	2119
248	636
779	1153
1310	1670
1841	2187
372	704
903	1221
1434	1738
1965	2255
496	772
527	1289
1058	1806
1589	2323
120	840
651	1357
1182	1874
1713	2391
244	908
775	1425
1306	1942
1837	2459
368	976
899	1493
1430	1510
1961	2027
492	544
523	1061
1054	1578
1585	2095
116	612
647	1129
1178	1646
1709	2163
240	680
771	1197
1302	1714
1833	2231
364	748
895	1265
1426	1782
1957	2299
488	816
519	1333
1050	1850
1581	2367
112	884
643	1401
1174	1918
1705	2435
236	952
767	1469
1298	1986
1829	2003
360	520
891	1037
1422	1554
1953	2071
484	588
515	1105
1046	1622
1577	2139
108	656
639	1173
1170	1690
1701	2207
232	724
763	1241
1294	1758
1825	2275
356	792
887	1309
1418	1826
1949	2343
480	860
511	1377
1042	1894
1573	2411
104	928
635	1445
1166	1962
1697	2479
228	996
759	1013
1290	1530
1821	2047
352	564
883	1081
1414	1598
1945	2115
476	632
507	1149
1038	1666
1569	2183
100	700
631	1217
1162	1734
1693	2251
224	768
755	1285
1286	1802
1817	2319
348	836
879	1353
1410	1870
1941	2387
472	904
503	1421
1034	1938
1565	2455
96	972
627	1489
1158	1506
1689	2023
220	540
751	1057
1282	1574
1813	2091
344	608
875	1125
1406	1642
1937	2159
468	676
999	1193
1030	1710
1561	2227
92	744
623	1261
1154	1778
1685	2295
216	812
747	1329
1278	1846
1809	2363
340	880
871	1397
1402	1914
1933	2431
464	948
995	1465
1026	1982
1557	2499
88	516
619	1033
1150	1550
1681	2067
212	584
743	1101
1274	1618
1805	2135
336	652
867	1169
1398	1686
1929	2203
460	720
991	1237
1022	1754
1553	2271
84	788
615	1305
1146	1822
1677	2339
208	856
739	1373
1270	1890
1801	2407
332	924
863	1441
1394	1958
1925	2475
456	992
987	1009
1018	1526
1549	2043
80	560
611	1077
1142	1594
1673	2111
204	628
735	1145
1266	1662
1797	2179
328	696
859	1213
1390	1730
1921	2247
452	764
983	1281
1014	1798
1545	2315
76	832
607	1349
1138	1866
1669	2383
200	900
731	1417
1262	1934
1793	2451
324	968
855	1485
1386	1502
1917	2019
448	536
979	1053
1010	1570
1541	2087
72	604
603	1121
1134	1638
1665	2155
196	672
727	1189
1258	1706
1789	2223
320	740
851	1257
1382	1774
1913	2291
444	808
975	1325
1006	1842
1537	2359
68	876
599	1393
1130	1910
1661	2427
192	944
723	1461
1254	1978
1785	2495
316	512
847	1029
1378	1546
1909	2063
440	580
971	1097
1002	1614
1533	2131
64	648
595	1165
1126	1682
1657	2199
188	716
719	1233
1250	1750
1781	2267
312	784
843	1301
1374	1818
1905	2335
436	852
967	1369
1498	1886
1529	2403
60	920
591	1437
1122	1954
1653	2471
184	988
715	1005
1246	1522
1777	2039
308	556
839	1073
1370	1590
1901	2107
432	624
963	1141
1494	1658
1525	2175
56	692
587	1209
1118	1726
1649	2243
180	760
711	1277
1242	1794
1773	2311
304	828
835	1345
1366	1862
1897	2379
428	896
959	1413
1490	1930
